order,latitude,longitude
188,16.50494296,-106.8619033
189,16.48022701,-106.829409
190,16.32469349,-106.5626035
191,16.26866641,-106.4672951
192,16.21053945,-106.3686983
193,16.11250566,-106.0781879
194,15.99189154,-105.996582
195,15.90288529,-105.907278
196,15.88928665,-105.8933769
197,15.81307046,-105.7755765
198,15.50355666,-105.3636643
199,15.4651182,-105.2732618
200,15.43325013,-105.2165665
201,15.40548168,-105.1667608
202,15.39315138,-105.1440629
203,15.24726952,-104.8660572
204,15.24220008,-104.8536591
205,15.18230235,-104.7040512
206,15.14109462,-104.5795446
207,15.0563285,-104.326335
208,14.9792838,-104.0968305
209,14.84188169,-103.7322218
210,14.7824447,-103.4949199
211,14.78548505,-103.3763186
212,14.77480544,-103.3695206
213,14.72926717,-103.3166173
214,14.63106238,-103.1799109
215,14.55719685,-103.069206
216,14.46430184,-102.9240003
217,14.38524579,-102.7837004
218,14.29010025,-102.6266918
219,14.21837376,-102.4833935
220,14.073481,-102.0539794
221,14.00759446,-101.9255816
222,13.93465032,-101.6871734
223,13.86038356,-101.4048647
224,13.76924798,-101.2626575
225,13.55210978,-100.7809503
226,13.46543447,-100.4999463
227,13.41499769,-100.2619348
228,13.374979,-100.2116408
229,13.24128624,-99.96246714
230,13.12363256,-99.62810962
231,13.04946664,-99.50949292
232,12.94426137,-99.31039206
233,12.83801673,-99.05036163
234,12.82539847,-98.98932521
235,12.75134138,-98.76529866
236,12.71222399,-98.59769266
237,12.66599546,-98.40299413
238,12.63121803,-98.20383994
239,12.57465118,-98.1067386
240,12.53296375,-97.95484184
241,12.4610466,-97.7034023
242,12.45522762,-97.68281014
243,12.3599926,-97.33085125
244,12.33633428,-97.24320295
245,12.30085585,-97.11559868
246,12.29611541,-97.09829486
247,12.25562861,-96.91100461
248,12.25683787,-96.84017949
249,12.25658803,-96.83145891
250,12.25340974,-96.68561242
251,12.27925732,-95.98646327
252,12.33358541,-95.70441406
253,12.36185477,-95.48419471
254,12.43572068,-95.17801324
255,12.49172798,-95.02507892
256,11.93517551,-94.44301997
257,12.49264902,-93.98580422
258,13.31451854,-93.303204
259,13.49383024,-93.15368014
260,13.58551637,-93.0770032
261,13.6318043,-93.03694045
262,13.6679409,-93.00845935
263,13.70819907,-92.97640763
264,13.71332956,-92.97170782
265,13.73997858,-92.9470415
266,13.76668671,-92.92345857
267,13.80067481,-92.89504613
268,13.82643409,-92.87370629
269,13.87484193,-92.83338413
270,13.89642052,-92.81447049
271,13.92627943,-92.78956001
272,13.96127742,-92.75990396
273,14.0374443,-92.69577762
274,14.07963166,-92.66013237
275,14.15469806,-92.59596025
276,14.16190746,-92.59000157
277,14.21439586,-92.54591805
278,14.55745921,-92.25449984
279,16.07355869,-91.73064806
280,18.49048269,-88.3271803
281,18.49013939,-88.32718793
282,18.49000207,-88.3261198
283,18.48908277,-88.32442603
284,18.48842095,-88.32228976
285,18.4876447,-88.31936001
286,18.4876447,-88.31932949
287,18.47560232,-88.29518956
288,18.41743872,-88.2940451
289,18.41737779,-88.03340411
290,18.16739223,-88.03341164
291,18.16739418,-87.92797114
292,18.15368104,-87.9043958
293,18.19351784,-87.86356242
294,18.19369522,-87.86086918
295,18.19200158,-87.86070133
296,18.19162394,-87.86024356
297,18.18909493,-87.85697048
298,18.18772552,-87.85693996
299,18.18640761,-87.85490286
300,18.18673947,-87.8511186
301,18.18631415,-87.85010387
302,18.05943423,-87.6561757
303,17.92418721,-87.4348498
304,17.91871151,-87.376827
305,17.9168939,-87.37502643
306,17.91204568,-87.32197048
307,17.90089591,-87.21260838
308,17.86421573,-86.84390233
309,17.80846304,-86.30386691
310,17.79134167,-86.13803083
311,17.787798,-86.10371307
312,18.15693344,-85.47289358
313,19.1280689,-85.07059462
314,19.52197047,-84.58086843
315,19.69045361,-84.67026398
316,19.78257978,-84.742432
317,20.0067415,-84.87187512
318,20.08675663,-84.93417049
319,20.17671429,-84.97682736
320,20.35266636,-85.10804819
321,20.48297016,-85.19147745
322,20.56552579,-85.27948444
323,20.80862676,-85.45958789
324,20.94356145,-85.51508534
325,21.08870381,-85.57420683
326,21.22817782,-85.63177189
327,21.59840353,-85.7836689
328,21.9353687,-85.85562336
329,22.0876749,-85.88886539
330,22.17410052,-85.90963308
331,22.42435798,-85.96961675
332,23.1504413,-86.21409866
333,24.03334632,-86.53810363
334,24.12533182,-86.57332173
335,24.50586762,-86.72163299
336,24.64668111,-86.77693213
337,24.75788813,-86.81997056
338,24.93267201,-86.88859858
339,24.95434041,-87.08194706
340,25.16803063,-87.33446292
341,25.43766293,-87.76264199
342,25.69643524,-88.30336484
343,25.77499986,-90.43952166
344,25.66764292,-91.02164222
345,25.33548486,-92.36574246
346,25.28603686,-92.49983201
347,25.21828856,-92.68177416
348,25.13592292,-92.90157418
349,24.94349066,-93.21743788
350,24.63373077,-93.71927962
351,24.86056024,-93.62413932
352,24.98856463,-93.58579333
353,25.37899018,-93.46993139
354,25.49719699,-93.45587792
355,25.60451331,-93.44243481
356,25.98068035,-93.39757358
357,25.97232693,-95.61506866
358,25.95030473,-97.13876131
359,25.95041152,-97.14531511
